1	7	n/a
1	8	n/a
1	10	n/a
1	14	n/a
1	17	n/a
1	21	n/a
1	23	n/a
1	29	n/a
1	30	n/a
1	34	n/a
2	9	n/a
2	13	n/a
2	17	n/a
2	22	n/a
2	24	n/a
2	25	n/a
2	26	n/a
2	27	n/a
2	36	n/a
2	37	n/a
2	38	n/a
2	44	n/a
2	51	n/a
2	52	n/a
2	62	n/a
2	74	n/a
2	75	n/a
2	76	n/a
3	6	n/a
3	7	0.253
3	8	n/a
3	14	n/a
3	17	n/a
3	19	n/a
3	21	0.067
3	23	0.039
3	26	0.024
3	27	0.005
3	28	0.161
3	29	n/a
3	30	n/a
3	34	n/a
3	36	0.022
3	37	n/a
3	38	0.016
3	39	n/a
3	40	n/a
3	43	0.132
3	44	n/a
3	45	0.064
3	51	n/a
3	52	0.26
3	65	0.023
3	66	n/a
3	72	0.058
3	73	0.217
3	75	0.049
3	76	0.208
3	77	0.056
4	6	n/a
4	7	n/a
4	8	n/a
4	9	n/a
4	10	n/a
4	12	n/a
4	14	n/a
4	15	n/a
4	20	n/a
4	24	n/a
4	28	n/a
4	34	n/a
4	36	n/a
4	38	n/a
4	47	n/a
4	53	n/a
4	58	n/a
4	61	n/a
4	73	n/a
4	77	n/a
5	6	n/a
5	15	n/a
5	32	n/a
6	7	n/a
6	8	n/a
6	9	n/a
6	10	n/a
6	14	n/a
6	20	n/a
6	23	n/a
6	24	n/a
6	28	n/a
6	29	n/a
6	30	n/a
6	34	n/a
6	36	n/a
6	38	n/a
6	40	n/a
6	41	n/a
6	73	n/a
6	77	n/a
7	8	n/a
7	9	n/a
7	10	0.066
7	12	n/a
7	14	n/a
7	15	n/a
7	17	n/a
7	20	n/a
7	21	0.092
7	23	0.157
7	24	0.039
7	26	0.175
7	27	0.043
7	28	0.044
7	29	n/a
7	30	n/a
7	33	n/a
7	34	n/a
7	35	n/a
7	36	0.21
7	38	0.183
7	39	n/a
7	40	n/a
7	43	0.055
7	58	n/a
7	59	0.164
7	73	0.233
7	76	0.128
7	77	0.223
8	10	n/a
8	12	n/a
8	14	n/a
8	15	n/a
8	17	n/a
8	19	n/a
8	20	n/a
8	21	n/a
8	23	n/a
8	24	n/a
8	26	n/a
8	27	n/a
8	28	n/a
8	29	n/a
8	30	n/a
8	34	n/a
8	38	n/a
8	40	n/a
8	41	n/a
8	73	n/a
8	77	n/a
9	10	n/a
9	12	n/a
9	14	n/a
9	15	n/a
9	20	n/a
9	24	n/a
9	25	n/a
9	26	n/a
9	27	n/a
9	28	n/a
9	29	n/a
9	36	n/a
9	37	n/a
9	38	n/a
9	40	n/a
9	43	n/a
9	45	n/a
9	47	n/a
9	53	n/a
9	56	n/a
9	58	n/a
9	59	n/a
9	61	n/a
9	69	n/a
9	73	n/a
9	76	n/a
9	77	n/a
9	78	n/a
10	12	n/a
10	14	n/a
10	15	n/a
10	20	n/a
10	24	0.033
10	28	0.003
10	29	n/a
10	30	n/a
10	34	n/a
10	35	n/a
10	36	0.378
10	38	0.345
10	40	n/a
10	41	n/a
10	43	0.06
10	53	n/a
10	56	0.176
10	58	n/a
10	73	0.287
10	77	0.378
11	17	n/a
11	18	n/a
11	19	n/a
11	25	n/a
11	26	n/a
11	27	n/a
11	36	n/a
11	37	n/a
11	38	n/a
11	62	n/a
11	75	n/a
11	76	n/a
12	14	n/a
12	15	n/a
12	20	n/a
12	24	n/a
12	29	n/a
12	34	n/a
12	36	n/a
12	38	n/a
12	40	n/a
12	41	n/a
12	53	n/a
12	59	n/a
12	73	n/a
12	77	n/a
13	22	n/a
13	25	n/a
13	26	n/a
13	27	n/a
13	31	n/a
13	34	n/a
13	37	n/a
13	38	n/a
13	44	n/a
13	62	n/a
13	74	n/a
13	75	n/a
13	76	n/a
14	17	n/a
14	19	n/a
14	20	n/a
14	21	n/a
14	23	n/a
14	24	n/a
14	26	n/a
14	27	n/a
14	28	n/a
14	29	n/a
14	30	n/a
14	34	n/a
14	36	n/a
14	73	n/a
14	77	n/a
15	20	n/a
15	22	n/a
15	24	n/a
15	27	n/a
15	28	n/a
15	36	n/a
15	73	n/a
15	77	n/a
16	22	n/a
16	24	0.015
16	27	0.016
16	28	0.002
16	34	n/a
16	36	0.177
16	37	n/a
16	38	0.132
16	39	n/a
16	40	n/a
16	45	0.073
16	52	0.119
16	65	0.176
16	70	0.344
16	71	n/a
16	72	0.237
16	73	0.342
16	76	0.121
16	77	0.269
17	18	n/a
17	19	n/a
17	21	n/a
17	23	n/a
