0	-1.066624514928758
1	n/a
2	n/a
3	n/a
4	-1.4807076828319845
5	-0.6498151024263947
6	-0.44997566225329977
7	-0.5534951244352779
8	n/a
9	-0.5794284451152746
10	n/a
11	-1.1916604734595613
12	n/a
13	-1.3350933595668977
14	n/a
15	-0.970647482642749
16	-0.31964155103206676
17	n/a
18	n/a
19	-1.4162728069799717
20	-1.0361244923473263
21	-0.8018462213129888
22	n/a
23	-0.612265151320281
24	-0.5962344988776365
25	n/a
26	-0.7093776653839198
27	-0.5641517222533088
28	n/a
29	-1.2733118071451885
30	n/a
31	-0.43157333861665115
32	-1.3020065539590138
33	n/a
34	-0.9268001116217311
35	n/a
36	n/a
37	n/a
38	-0.3940342098637469
39	-0.35085659667273067
40	-1.1060918129933675
41	n/a
42	-0.9578336276465672
43	-0.6375761775333728
44	-0.9416659977772888
45	n/a
46	n/a
47	n/a
48	n/a
49	-0.951261235929602
50	n/a
51	n/a
52	-0.3923163361032971
53	-0.6218655137719006
54	n/a
55	-0.7987591810433871
56	n/a
57	-0.25504957131167516
58	-1.130098096761277
59	n/a
60	n/a
61	n/a
62	n/a
63	-0.3923163361032971
64	n/a
65	-0.4313218119436455
66	n/a
67	n/a
68	n/a
69	-0.3497970729586698
70	-0.9107057383611746
71	n/a
72	-1.2539156990759022
73	n/a
74	-0.5437279379932702
75	n/a
76	-0.44997566225329977
77	-0.35085659667273067
78	n/a
79	-1.3879986071604973
80	n/a
81	-0.25504957131167516
82	0.3493808797405411
83	0.11420970142746073
#subnet node score	-32.666536578584655
