1	7	n/a
1	8	n/a
1	10	n/a
1	14	n/a
1	17	n/a
1	21	n/a
1	23	n/a
1	29	n/a
1	30	n/a
1	34	n/a
2	9	n/a
2	13	n/a
2	17	n/a
2	22	n/a
2	24	n/a
2	25	n/a
2	26	n/a
2	27	n/a
2	36	n/a
2	37	n/a
2	38	n/a
2	44	n/a
2	51	n/a
2	52	n/a
2	74	n/a
2	75	n/a
2	76	n/a
3	6	n/a
3	7	0.078
3	8	0.086
3	14	0.062
3	17	0.026
3	19	n/a
3	21	0.094
3	23	0.068
3	24	0.084
3	26	0.055
3	27	0.03
3	28	0.128
3	29	0.049
3	30	0.02
3	34	n/a
3	36	0.166
3	37	n/a
3	39	n/a
3	40	n/a
3	43	0.045
3	44	n/a
3	45	0.085
3	51	n/a
3	52	0.066
3	65	n/a
3	66	0.046
3	72	0.2
3	73	0.046
3	76	0.12
3	77	0.121
4	6	n/a
4	7	n/a
4	8	n/a
4	9	n/a
4	10	n/a
4	12	n/a
4	14	n/a
4	15	n/a
4	20	n/a
4	24	n/a
4	28	n/a
4	34	n/a
4	36	n/a
4	38	n/a
4	40	n/a
4	47	n/a
4	53	n/a
4	58	n/a
4	61	n/a
4	73	n/a
4	77	n/a
5	6	n/a
5	15	n/a
5	32	n/a
5	34	n/a
5	40	n/a
5	41	n/a
6	7	n/a
6	8	n/a
6	9	n/a
6	10	n/a
6	12	n/a
6	14	n/a
6	15	n/a
6	20	n/a
6	23	n/a
6	24	n/a
6	28	n/a
6	29	n/a
6	30	n/a
6	34	n/a
6	36	n/a
6	38	n/a
6	40	n/a
6	41	n/a
6	73	n/a
6	77	n/a
7	8	0.113
7	9	n/a
7	10	n/a
7	12	n/a
7	14	0.038
7	15	n/a
7	17	0.119
7	20	n/a
7	21	0.133
7	23	0.089
7	24	0.091
7	26	0.04
7	27	0.181
7	28	0.094
7	29	0.12
7	30	0.19
7	33	n/a
7	34	n/a
7	35	n/a
7	36	0.128
7	38	0.023
7	39	n/a
7	40	n/a
7	43	0.048
7	58	n/a
7	59	n/a
7	73	0.08
7	76	0.127
7	77	0.088
8	10	n/a
8	12	n/a
8	14	0.036
8	15	n/a
8	17	0.109
8	19	n/a
8	20	n/a
8	21	0.203
8	23	0.127
8	24	0.026
8	26	0.019
8	27	0.067
8	28	0.18
8	29	0.079
8	30	0.172
8	34	n/a
8	36	0.139
8	38	0.129
8	40	n/a
8	41	n/a
8	73	0.139
8	77	0.221
9	10	n/a
9	12	n/a
9	14	n/a
9	15	n/a
9	20	n/a
9	22	n/a
9	24	n/a
9	25	n/a
9	26	n/a
9	27	n/a
9	28	n/a
9	29	n/a
9	34	n/a
9	36	n/a
9	37	n/a
9	38	n/a
9	40	n/a
9	43	n/a
9	45	n/a
9	47	n/a
9	53	n/a
9	56	n/a
9	58	n/a
9	59	n/a
9	61	n/a
9	69	n/a
9	73	n/a
9	76	n/a
9	77	n/a
9	78	n/a
10	12	n/a
10	14	n/a
10	15	n/a
10	20	n/a
10	24	n/a
10	28	n/a
10	29	n/a
10	30	n/a
10	34	n/a
10	35	n/a
10	36	n/a
10	38	n/a
10	40	n/a
10	41	n/a
10	43	n/a
10	53	n/a
10	56	n/a
10	58	n/a
10	73	n/a
10	77	n/a
11	13	n/a
11	17	n/a
11	18	n/a
11	19	n/a
11	25	n/a
11	26	n/a
11	27	n/a
11	34	n/a
11	36	n/a
11	37	n/a
11	38	n/a
11	62	n/a
11	75	n/a
11	76	n/a
12	14	n/a
12	15	n/a
12	20	n/a
12	24	n/a
12	28	n/a
12	29	n/a
12	34	n/a
12	36	n/a
12	38	n/a
12	40	n/a
12	41	n/a
12	53	n/a
12	59	n/a
12	73	n/a
12	77	n/a
13	22	n/a
13	25	n/a
13	26	n/a
13	27	n/a
13	31	n/a
13	34	n/a
13	37	n/a
13	38	n/a
13	44	n/a
13	62	n/a
13	74	n/a
13	75	n/a
13	76	n/a
14	17	0.161
14	19	n/a
14	20	n/a
14	21	0.203
14	23	0.146
14	24	0.104
14	26	0.09
14	27	0.151
14	28	0.124
14	29	0.079
14	30	0.183
14	34	n/a
14	36	0.101
14	38	0.074
14	40	n/a
14	41	n/a
14	43	0.052
14	73	0.163
14	77	0.13
15	20	n/a
15	22	n/a
15	24	n/a
15	27	n/a
15	28	n/a
15	36	n/a
15	40	n/a
15	73	n/a
15	77	n/a
16	17	0.039
16	21	0.13
16	22	n/a
16	23	0.148
16	24	0.057
16	27	0.041
16	28	0.105
16	34	n/a
