1	7	n/a
1	8	n/a
1	14	n/a
1	23	n/a
1	29	n/a
1	30	n/a
2	9	n/a
2	13	0.095
2	22	0.177
2	24	n/a
2	25	0.085
2	26	0.059
2	27	0.045
2	31	0.109
2	36	0.158
2	37	0.105
2	38	0.085
2	42	0.047
2	51	n/a
2	76	0.171
3	7	n/a
3	17	0.023
3	21	0.116
3	23	0.17
3	26	0.002
3	27	0.024
3	36	0.041
3	37	0.161
3	38	0.043
3	39	0.103
3	76	0.126
4	9	n/a
4	10	n/a
4	12	n/a
4	15	n/a
4	20	n/a
4	24	n/a
4	28	n/a
5	6	n/a
5	12	n/a
5	15	n/a
5	24	n/a
5	32	n/a
5	34	n/a
5	40	n/a
5	41	n/a
6	7	n/a
6	8	n/a
6	10	n/a
6	12	n/a
6	15	n/a
6	28	n/a
6	32	n/a
6	40	n/a
6	41	n/a
7	8	n/a
7	10	n/a
7	14	n/a
7	23	n/a
7	24	n/a
7	28	n/a
7	29	n/a
7	30	n/a
7	33	n/a
7	36	n/a
7	38	n/a
8	10	n/a
8	12	n/a
8	14	n/a
8	17	n/a
8	23	n/a
8	28	n/a
8	30	n/a
8	32	n/a
8	40	n/a
8	41	n/a
9	10	n/a
9	12	n/a
9	15	n/a
9	20	n/a
9	22	n/a
9	24	n/a
9	27	n/a
9	28	n/a
9	36	n/a
9	40	n/a
9	58	n/a
9	73	n/a
9	77	n/a
10	12	n/a
10	14	n/a
10	15	n/a
10	20	n/a
10	28	n/a
10	29	n/a
10	34	n/a
10	36	n/a
10	40	n/a
10	41	n/a
11	13	0.115
11	17	0.078
11	18	0.1
11	19	n/a
11	26	0.26
11	27	0.119
11	31	0.06
11	34	0.106
11	37	0.006
11	38	0.018
11	42	0.016
11	49	0.091
11	62	0.001
11	80	0.194
12	15	n/a
12	20	n/a
12	24	n/a
12	28	n/a
12	40	n/a
13	25	0.023
13	26	0.018
13	27	0.121
13	31	0.192
13	34	0.05
13	36	0.031
13	37	0.167
13	38	0.046
13	41	n/a
13	42	0.217
13	44	0.033
13	49	0.113
13	62	0.132
13	74	0.075
13	75	0.029
13	76	0.08
13	80	0.051
14	17	n/a
14	23	n/a
14	28	n/a
14	29	n/a
14	30	n/a
14	32	n/a
14	34	n/a
14	41	n/a
15	20	n/a
15	24	n/a
15	28	n/a
15	36	n/a
15	40	n/a
16	21	0.166
16	22	0.068
16	23	0.02
16	24	n/a
16	27	0.22
16	28	n/a
16	36	0.013
16	38	0.058
16	39	0.106
16	65	n/a
16	71	n/a
16	72	0.001
16	76	0.051
17	18	0.008
17	19	n/a
17	21	0.178
17	23	0.02
17	26	0.131
17	27	0.089
17	29	n/a
17	30	n/a
17	34	0.002
17	36	0.041
17	37	0.104
17	38	0.146
17	76	0.036
18	26	0.034
18	27	0.269
18	31	0.185
18	34	0.102
18	36	0.178
18	37	0.131
18	38	0.116
18	76	0.044
19	26	n/a
19	27	n/a
19	34	n/a
19	36	n/a
19	37	n/a
19	38	n/a
19	76	n/a
20	24	n/a
20	28	n/a
21	23	0.08
21	28	n/a
21	30	n/a
21	33	n/a
21	34	0.123
21	36	0.086
21	37	0.246
21	39	0.059
22	23	0.034
22	24	n/a
22	25	0.025
22	27	0.159
22	28	n/a
22	65	n/a
22	71	n/a
22	72	0.156
22	76	0.094
23	27	0.003
23	28	n/a
23	29	n/a
23	30	n/a
23	33	n/a
23	34	0.182
23	36	0.012
23	37	0.06
23	38	0.086
23	39	0.134
23	40	n/a
23	65	n/a
23	71	n/a
23	72	0.007
24	27	n/a
24	28	n/a
24	33	n/a
24	36	n/a
24	40	n/a
24	58	n/a
24	71	n/a
24	73	n/a
24	77	n/a
25	26	0.142
25	27	0.111
25	31	0.014
25	42	0.04
25	49	0.154
25	62	0.11
25	74	0.16
25	75	0.047
25	76	0.143
25	80	0.104
26	27	0.173
26	31	0.128
26	34	0.085
26	36	0.119
26	37	0.144
26	38	0.063
26	39	0.019
26	42	0.087
26	51	n/a
26	62	0.028
26	67	n/a
26	74	0.079
26	75	0.052
26	76	0.065
26	80	0.031
27	28	n/a
27	31	0.003
27	34	0.027
27	36	0.094
27	37	0.062
27	38	0.078
27	39	0.043
27	43	n/a
27	44	0.215
27	45	0.036
27	46	n/a
27	51	n/a
27	52	0.087
27	62	0.007
27	65	n/a
27	66	n/a
27	68	n/a
27	71	n/a
27	72	0.195
27	75	0.047
27	76	0.088
27	80	0.009
28	29	n/a
28	30	n/a
28	33	n/a
28	34	n/a
28	36	n/a
